orden_id,placa_vehiculo,origen,destino,peso_kg,fecha_entrega,estado,duracion_min,distancia_km,cliente_id
ORD-00158,QRS-201,Lima Centro,San Isidro,2644.14,2025-03-30 01:15:00,Completado,41,10.22,CLI-024
ORD-00159,LMN-051,Callao,Bellavista,3410.54,2025-07-18 13:49:00,Pendiente,,5.46,CLI-041
ORD-00160,LMN-050,Miraflores,Chorrillos,3632.48,2025-02-18 17:43:00,Completado,25,8.25,CLI-039
ORD-00161,LMN-050,Lima Centro,Comas,4840.1,2025-10-26 21:09:00,Completado,85,18.71,CLI-026
ORD-00162,DEF-400,Lima Centro,Comas,3968.73,2026-04-26 02:19:00,Completado,66,19.13,CLI-043
ORD-00163,LMN-051,Lima Centro,Piura,1578.89,2025-12-10 13:32:00,Completado,2622,926.7,CLI-022
ORD-00164,GHI-500,Lima Centro,Chiclayo,550.65,2025-03-12 04:04:00,Completado,1876,685.21,CLI-048
ORD-00165,XYZ-101,Lima Centro,Piura,853.12,2025-06-22 19:08:00,Completado,3222,906.33,CLI-050
ORD-00166,LMN-051,Lima Centro,Tacna,3398.0,2025-03-26 23:28:00,Fallido,2770,1231.76,CLI-029
ORD-00167,LMN-050,Lima Centro,Tacna,4829.7,2026-01-19 14:14:00,Completado,4682,1373.94,CLI-013
ORD-00168,GHI-500,Callao,Bellavista,1940.27,2025-10-20 14:29:00,En tránsito,25,6.03,CLI-011
ORD-00169,GHI-501,Lima Centro,Villa El Salvador,1887.5,2025-03-12 08:03:00,Fallido,98,27.17,CLI-046
ORD-00170,QRS-201,Lima Centro,Piura,4531.27,2025-05-26 02:48:00,Fallido,2108,790.05,CLI-028
ORD-00171,LMN-051,Lima Centro,San Isidro,4655.84,2025-04-24 14:56:00,Pendiente,,9.83,CLI-026
ORD-00172,LMN-051,Lima Centro,Piura,4657.59,2025-07-17 02:23:00,Completado,2272,907.66,CLI-042
ORD-00173,QRS-201,Miraflores,Chorrillos,3495.56,2025-03-12 01:18:00,En tránsito,38,7.42,CLI-046
ORD-00174,GHI-501,Lima Centro,Chiclayo,790.12,2025-01-03 02:01:00,Completado,1799,707.23,CLI-039
ORD-00175,ABC-001,Lima Centro,Piura,1230.28,2026-02-02 09:15:00,Completado,2467,873.62,CLI-040
ORD-00176,DEF-400,Lima Centro,Trujillo,2601.11,2026-03-05 15:38:00,Completado,1984,521.61,CLI-010
ORD-00177,XYZ-101,Miraflores,Barranco,3338.64,2025-11-11 11:15:00,Completado,18,4.59,CLI-024
ORD-00178,TUV-300,Lima Centro,San Isidro,2793.05,2025-10-06 16:50:00,Pendiente,,9.78,CLI-031
ORD-00179,GHI-500,Lima Centro,Miraflores,384.42,2025-07-11 08:47:00,En tránsito,16,7.59,CLI-043
ORD-00180,TUV-300,Lima Centro,Surco,1725.81,2026-01-12 10:08:00,En tránsito,25,12.34,CLI-050
ORD-00181,GHI-500,Lima Centro,Trujillo,717.52,2025-09-03 20:11:00,Pendiente,,573.76,CLI-030
ORD-00182,JKL-600,Lima Centro,Miraflores,1584.88,2025-01-23 06:56:00,Completado,17,7.84,CLI-035
ORD-00183,GHI-501,Lima Centro,Chiclayo,3915.17,2026-01-21 20:12:00,Completado,1857,697.55,CLI-022
ORD-00184,QRS-201,San Isidro,La Molina,4478.46,2025-07-08 13:56:00,Completado,48,14.66,CLI-012
ORD-00185,DEF-401,Lima Centro,Chiclayo,2151.27,2025-07-08 16:17:00,En tránsito,2862,640.98,CLI-012
ORD-00186,LMN-050,Lima Centro,Iquitos,2257.28,2025-02-22 02:20:00,Completado,4779,1252.24,CLI-011
ORD-00187,TUV-301,Lima Centro,Trujillo,4990.85,2025-01-22 23:55:00,Completado,2604,525.2,CLI-004
ORD-00188,DEF-400,Lima Centro,San Isidro,841.93,2025-07-27 11:32:00,En tránsito,44,9.06,CLI-039
ORD-00189,LMN-051,Lima Centro,Trujillo,1945.13,2025-02-04 07:49:00,Completado,2164,557.4,CLI-039
ORD-00190,ABC-002,Lima Centro,Comas,2890.91,2026-05-01 11:23:00,En tránsito,59,18.11,CLI-026
ORD-00191,QRS-201,Miraflores,Chorrillos,2612.84,2025-05-08 03:01:00,En tránsito,33,8.66,CLI-008
ORD-00192,LMN-050,San Isidro,La Molina,3485.2,2025-12-27 14:13:00,En tránsito,74,16.5,CLI-013
ORD-00193,QRS-201,Lima Centro,Surco,4986.45,2025-02-07 14:11:00,Completado,56,12.75,CLI-021
ORD-00194,GHI-501,Callao,Bellavista,829.65,2025-10-09 17:18:00,En tránsito,28,6.25,CLI-045
ORD-00195,GHI-500,Lima Centro,San Juan de Lurigancho,737.44,2025-09-18 07:07:00,En tránsito,109,23.28,CLI-002
ORD-00196,XYZ-101,Callao,Bellavista,3079.14,2025-07-08 14:51:00,Completado,29,5.5,CLI-020
ORD-00197,QRS-200,Lima Centro,Cusco,3857.36,2026-01-04 15:33:00,Pendiente,,1277.6,CLI-005
ORD-00198,QRS-201,Lima Centro,Comas,3416.54,2025-11-25 02:28:00,Pendiente,,17.44,CLI-050
ORD-00199,GHI-501,Lima Centro,Iquitos,324.29,2025-04-04 04:27:00,En tránsito,4210,1109.8,CLI-010
ORD-00200,TUV-300,Miraflores,Barranco,4479.88,2025-06-15 22:14:00,Completado,15,5.35,CLI-017
ORD-00201,TUV-301,Lima Centro,Villa El Salvador,2690.72,2025-10-10 08:08:00,En tránsito,96,25.01,CLI-011
ORD-00202,TUV-301,Lima Centro,Huancayo,3617.13,2025-03-20 05:42:00,Pendiente,,306.31,CLI-037
ORD-00203,GHI-500,Lima Centro,Miraflores,2905.02,2025-01-15 02:02:00,Fallido,38,8.24,CLI-050
ORD-00204,TUV-300,Lima Centro,Huancayo,1483.87,2025-11-24 00:31:00,Completado,1400,327.4,CLI-031
ORD-00205,DEF-401,Lima Centro,Ate,346.57,2025-12-17 12:19:00,Fallido,67,19.76,CLI-031
ORD-00206,LMN-051,Lima Centro,Trujillo,3684.29,2025-11-07 04:20:00,Completado,2521,589.69,CLI-026
ORD-00207,QRS-201,Lima Centro,Comas,656.48,2025-09-21 17:06:00,En tránsito,53,17.82,CLI-010
ORD-00208,XYZ-102,Lima Centro,Surco,4815.29,2026-04-30 12:55:00,Completado,46,12.97,CLI-021
ORD-00209,QRS-201,Lima Centro,Huancayo,2518.86,2025-04-08 05:31:00,En tránsito,1496,288.51,CLI-002
ORD-00210,XYZ-102,Lima Centro,San Isidro,2937.55,2025-09-16 14:15:00,Pendiente,,9.1,CLI-019
ORD-00211,TUV-300,Lima Centro,Chiclayo,90.48,2026-03-08 20:43:00,Completado,2217,598.97,CLI-009
ORD-00212,ABC-001,San Isidro,La Molina,2872.89,2026-01-27 12:23:00,En tránsito,32,14.08,CLI-036
ORD-00213,GHI-501,Miraflores,Barranco,4946.0,2025-09-16 14:48:00,Completado,18,5.18,CLI-008
ORD-00214,LMN-051,Lima Centro,Comas,2811.27,2025-07-21 11:50:00,Pendiente,,17.52,CLI-010
ORD-00215,XYZ-101,Lima Centro,Villa El Salvador,3582.28,2025-07-25 16:02:00,En tránsito,53,26.52,CLI-034
ORD-00216,TUV-301,Lima Centro,Trujillo,1626.72,2026-04-03 16:08:00,Completado,1641,538.23,CLI-040
ORD-00217,TUV-301,Miraflores,Barranco,1533.96,2025-09-17 16:34:00,Completado,17,5.32,CLI-024
ORD-00218,DEF-401,Miraflores,Chorrillos,4366.89,2025-08-02 18:19:00,En tránsito,35,8.21,CLI-039
ORD-00219,ABC-001,Lima Centro,Chiclayo,2938.44,2025-12-02 18:36:00,Completado,1743,607.17,CLI-041
ORD-00220,ABC-001,Lima Centro,Tacna,2884.22,2025-07-14 04:52:00,En tránsito,5254,1352.14,CLI-013
ORD-00221,QRS-200,Lima Centro,Callao,2534.01,2025-08-03 04:26:00,Completado,61,15.33,CLI-031
ORD-00222,DEF-400,Lima Centro,Miraflores,2417.94,2025-09-23 06:35:00,En tránsito,23,7.8,CLI-012
ORD-00223,DEF-400,Lima Centro,Trujillo,3871.35,2025-06-25 17:22:00,Pendiente,,574.3,CLI-042
ORD-00224,XYZ-102,San Isidro,La Molina,4710.35,2025-04-09 07:17:00,En tránsito,55,16.45,CLI-050
ORD-00225,LMN-051,Miraflores,Barranco,2824.41,2025-12-20 22:31:00,En tránsito,14,5.43,CLI-047
ORD-00226,QRS-200,San Isidro,La Molina,4100.97,2025-10-21 21:34:00,Completado,47,16.36,CLI-010
ORD-00227,QRS-201,Miraflores,Barranco,3297.06,2026-05-05 22:05:00,Completado,15,5.25,CLI-014
ORD-00228,ABC-002,Lima Centro,Villa El Salvador,3097.6,2025-05-19 17:44:00,Fallido,70,25.43,CLI-016
ORD-00229,ABC-002,Lima Centro,Miraflores,2095.84,2025-09-29 07:40:00,En tránsito,21,8.35,CLI-007
